locus_tag	cmetab
EQU24_RS23140	central metabolism
EQU24_RS23135	central metabolism
EQU24_RS23130	central metabolism
EQU24_RS22035	central metabolism
EQU24_RS21220	central metabolism
EQU24_RS21290	central metabolism
EQU24_RS21215	central metabolism
EQU24_RS06110	central metabolism
EQU24_RS06105	central metabolism
EQU24_RS19930	central metabolism
EQU24_RS06095	central metabolism
EQU24_RS06090	central metabolism
EQU24_RS13800	central metabolism
EQU24_RS06435	central metabolism
EQU24_RS15285	central metabolism
EQU24_RS13675	central metabolism
EQU24_RS13315	central metabolism
EQU24_RS09840	central metabolism
EQU24_RS18895	central metabolism
EQU24_RS15280	central metabolism
EQU24_RS19640	central metabolism
EQU24_RS09515	central metabolism
EQU24_RS20710	central metabolism
EQU24_RS21560	central metabolism
EQU24_RS07860	central metabolism
EQU24_RS04150	central metabolism
EQU24_RS00585	central metabolism
EQU24_RS11520	central metabolism
EQU24_RS11515	central metabolism
EQU24_RS01475	central metabolism
EQU24_RS01465	central metabolism
EQU24_RS01460	central metabolism
EQU24_RS01455	central metabolism
EQU24_RS14315	central metabolism
EQU24_RS13345	central metabolism
EQU24_RS10305	central metabolism
EQU24_RS09110	central metabolism
EQU24_RS16905	central metabolism
EQU24_RS09135	central metabolism
EQU24_RS09125	central metabolism
EQU24_RS08950	central metabolism
EQU24_RS08945	central metabolism
EQU24_RS08920	central metabolism
EQU24_RS06160	central metabolism
EQU24_RS06155	central metabolism
EQU24_RS04570	central metabolism
EQU24_RS19305	central metabolism
EQU24_RS19310	central metabolism
EQU24_RS19315	central metabolism
EQU24_RS02970	central metabolism
EQU24_RS02965	central metabolism
EQU24_RS02960	central metabolism
EQU24_RS02955	central metabolism
EQU24_RS02950	central metabolism
EQU24_RS02945	central metabolism
EQU24_RS18610	central metabolism
EQU24_RS18605	central metabolism
EQU24_RS18145	central metabolism
EQU24_RS18140	central metabolism
EQU24_RS18135	central metabolism
EQU24_RS18130	central metabolism
EQU24_RS18125	central metabolism
EQU24_RS18120	central metabolism
EQU24_RS18115	central metabolism
EQU24_RS18110	central metabolism
EQU24_RS18105	central metabolism
EQU24_RS18100	central metabolism
EQU24_RS18095	central metabolism
